type	d1	d1sub	act	hedge	c	conf	note
emotionally	PENDING	-	NA	NA	NA	-	维度一待定：emotionally charged language(G2-Wording/register)vs emotional appeal(G1-Ideas)；同组 2 emotional 口径
luck	NA	-	NA	NA	NA	M	人际礼貌（good luck）；属手册排除的 paired acts 类，不入 M1
could	NA	-	PENDING	PENDING	NA	-	手册指定共享项，抽 50 行分别判 act 层与 hedge 层
question	G1	Ideas	NA	NA	NA	M	the question your essay raises／questions worth addressing，属论断层
raises	G1	Ideas	PENDING	NA	NA	-	act 层待定：raises an important question 属开场归功套语(A1)vs 单纯描述(NA)；与组 1 tackles 同构，须并案处理
arguments	G1	Ideas	NA	NA	NA	H	Ideas 明示
essential	NA	-	PENDING	NA	NA	-	act 层待定：an essential point(A1)vs it is essential to…(A3 框架)；同组 2 important 口径
comment	NA	-	NA	NA	NA	M	元话语（a comment on… / 小标题）
choose	NA	-	A3	NA	NA	M	choose more precise words，层级由宾语决定
your	NA	-	NA	NA	NA	M	人称代词，无固定层级所指
feels	NA	-	NA	M1	NA	M	this feels abrupt/rushed：与手册 M1 词族例 seem/appear 同类；删除后批评仍在且更强
errors	G2	Correctness	A2	NA	NA	H	手册边界规则明示：error/mistake 归 G2-Correctness 且同时得批评标签
impact	G1	Ideas	NA	NA	NA	M	the impact of your argument on the reader；受众/效果，依窄口径归 G1
makes	NA	-	NA	NA	NA	M	轻动词
find	NA	-	NA	NA	NA	M	I find… / readers may find…＝人称归因，属手册排除的缓和策略，不入 M1
experience	G1	Development	NA	NA	NA	M	personal experience 作为证据类型，与组 1 anecdote 同位
thought	G1	Ideas	NA	NA	NA	M	your thought process／well-thought-out
paper	NA	-	NA	NA	NA	H	文本指称语，不指示层级
describing	G1	Ideas	NA	NA	NA	M	describing rather than analysing，描述—分析对举，属论述方式
final	PENDING	-	NA	NA	NA	-	维度一待定：your final paragraph(G1-Structure)vs"Final thoughts:"小标题(NA)
punctuation	G2	Mechanics	NA	NA	NA	H	Mechanics 明示
her	NA	-	NA	NA	NA	M	疑似议题内容残留（引述作文内容），待核
strongest	NA	-	PENDING	NA	NA	-	手册 v3 强制查询清单（strong 系 A1/A3 争议），不得凭词形归类
strength	NA	-	PENDING	NA	NA	-	act 层待定：反馈小标题"Strengths:"（元话语 NA）vs 归功（A1）；且属 strong 词族，按 v3 强制查询规则不得凭词形定
key	NA	-	NA	NA	NA	M	重要性前置修饰语（your key claim），少见于 it is key to… 框架，故与 essential/important 不同判
point	G1	Ideas	NA	NA	NA	H	手册 Ideas 词族例明列 point
moves	PENDING	-	NA	NA	NA	-	维度一待定：the essay moves from X to Y(G1-Structure)vs move this paragraph(元话语/G1)；同组 1 move 口径
claims	G1	Ideas	NA	NA	NA	H	Ideas 明示。注：本组为复数 claims 独立入选（组 1 为归并 CLAIM），系 R1 先行的口径效应
several	NA	-	NA	NA	NA	M	量词
section	G1	Global Structure	NA	NA	NA	M	大于段落的单位
