type	d1	d1sub	act	hedge	c	conf	src	note
GOOD	NA	-	A1	NA	NA	-	act	act 层待定：good+better 归并，comparative 多嵌于目标态框架（make it better=A3）vs 评价（A1）；LL 全组最高，须查〔沿用组 2〕 〔concordance回填：act 层=A1；主导判定=A1〕
language	G2	Wording	NA	NA	NA	-	d1+c	维度三待定：your language background/first language(C1) vs academic language(G2 Wording)；本组理论枢纽词〔沿用组 2〕 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording; NA〕 〔concordance回填：维度三=NA；主导判定=G2-Wording; NA〕
corrections	G2	Correctness	NA	NA	NA	M	-	命名 Correctness 焦点的元话语标签；中性焦点名词，act 层不赋值〔沿用组 2〕
main	G1	Ideas	NA	NA	NA	M	d1	main point/argument/idea；子类 Ideas 与 Global Structure 边界待核〔沿用组 2〕 〔concordance回填：维度一=G1-Ideas；主导判定=G1-Ideas〕
writing	NA	-	NA	NA	NA	M	-	文本指称/写作过程，不指示层级〔沿用组 2〕
word	G2	Wording	NA	NA	NA	H	-	Wording 明示。注：本组为单数 word 独立入选（组 2 为归并 WORD），系 R1 先行的口径效应〔沿用组 3〕
academic	G2	Wording	NA	NA	NA	-	d1	维度一待定：属 register，手册列 tone/formal/register 为 PENDING〔沿用组 2〕 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording〕
grammar	G2	Grammar	NA	NA	NA	H	-	Correctness/Grammar 明示；中性焦点名词〔沿用组 2〕
strengths	NA	-	A1	NA	NA	-	act	act 层待定：反馈小标题"Strengths:"（元话语 NA）vs 归功（A1）；且属 strong 词族，按 v3 强制查询规则不得凭词形定。注：组 2 为归并 STRENGTH，本组为 strengths 单独入选，系口径效应 〔concordance回填：act 层=A1；主导判定=A1〕
english	NA	-	NA	NA	C1	-	c	手册明列：指语言系统（correct English）→C1；作文体修饰（English essay）→NA。两读法维度一均为 NA〔沿用组 2〕 〔concordance回填：维度三=C1；主导判定=C1〕
IDEA	G1	Ideas	NA	NA	NA	H	-	Ideas 明示〔沿用组 2〕
SENTENCE	G2	Local Structure	NA	NA	NA	H	-	Local Structure 明示。注：组 2 为 sentences 单独入选，本组为归并 SENTENCE，系口径效应
verb	G2	Grammar	NA	NA	NA	H	-	Correctness/Grammar 明示〔沿用组 2〕
ARTICLE	G2	Grammar	NA	NA	NA	-	d1	维度一待定：英语冠词(G2-Grammar)vs 引用的文章(G1-Development)；L2 语法标记的关键判别点〔沿用组 2〕 〔concordance回填：维度一=G2-Correctness-Grammar；主导判定=G2-Correctness-Grammar〕
use	NA	-	NA	NA	NA	-	d1+act	维度一与 act 层皆待定；内容动词类。注：组 2 为归并 USE（use+using），本组为 use 单独入选——交接文档 §三 预告的口径效应实例 〔concordance回填：维度一=NA；主导判定=NA; NA〕 〔concordance回填：act 层=NA；主导判定=NA; NA〕
slightly	NA	-	NA	M1	NA	H	-	手册 v3 M1 明示 hedge〔沿用组 2〕
recurring	NA	-	NA	NA	NA	M	-	recurring errors/patterns，层级由宾语决定；构成"错误模式化"框架〔沿用组 2〕
choice	G2	Wording	NA	NA	NA	M	-	word choice；your choice of topic 读法待观察〔沿用组 2〕
suggestions	NA	-	A3	NA	NA	-	act	act 层待定：反馈小标题"Suggestions:"（元话语 NA）vs 名词化建议行为（A3）〔沿用组 2〕 〔concordance回填：act 层=A3；主导判定=A3(100%)〕
check	G2	Mechanics	A3	NA	NA	-	d1	维度一待定：check your spelling(G2)vs check your logic(G1)；手册 A3 明示〔沿用组 2〕 〔concordance回填：维度一=G2-Correctness-Mechanics；主导判定=G2-Correctness-Mechanics〕
some	NA	-	NA	M1	NA	H	-	手册 v3 M1 明示 hedge〔沿用组 2〕
here	NA	-	NA	NA	NA	M	-	指示元话语〔沿用组 2〕
patterns	G2	Grammar	NA	NA	NA	-	d1	维度一待定：error patterns(G2)vs sentence patterns(G2-Local)vs 论证模式(G1)〔沿用组 2〕 〔concordance回填：维度一=G2-Correctness-Grammar；主导判定=G2-Correctness-Grammar(38%)〕
formal	G2	Wording	NA	NA	NA	-	d1	维度一待定（register）；命名目标态而非评价，act 层不赋值〔沿用组 2〕 〔concordance回填：维度一=G2-Wording；主导判定=G2-Wording〕
comment	NA	-	NA	NA	NA	M	-	元话语（a comment on… / 小标题）〔沿用组 2〕
too	NA	-	A2	NA	NA	M	-	标记过度=内在负向（同组 1 overly 口径）；polysemy 高于 overly，信度中等〔沿用组 2〕
tense	G2	Grammar	NA	NA	NA	H	-	Correctness/Grammar 明示〔沿用组 2〕
expressions	G2	Wording	NA	NA	NA	H	-	Wording 明示〔沿用组 2〕
original	NA	-	NA	NA	NA	M	-	与 revised 配对的"原句/改后句"对照格式，元话语〔沿用组 2〕
form	G2	Grammar	NA	NA	NA	M	-	verb form / the correct form〔沿用组 2〕
