type	d1	d1sub	act	hedge	c	conf	note
paper	NA	-	NA	NA	NA	H	文本指称语，不指示层级〔沿用组 1〕
CLAIM	G1	Ideas	NA	NA	NA	H	论断/主张名词，Ideas 明示；本身中性，act 层不赋值〔沿用组 1〕
SHARPEN	G1	Ideas	A3	NA	NA	M	主导搭配 sharpen your claim/thesis/argument〔沿用组 1〕
rather	NA	-	NA	PENDING	NA	-	"M1待定：手册列为 hedge，但""rather than""（建议对比框架）可能占主导〔沿用组 1〕"
correctness	G2	Correctness	NA	NA	NA	H	直接命名 Correctness 焦点〔沿用组 1〕
evidence	G1	Development	NA	NA	NA	H	Development 核心〔沿用组 1〕
COUNTERARGUMENT	G1	Ideas	NA	NA	NA	H	Ideas 明示（counterargument）
RELY	G1	Development	NA	NA	NA	M	rely on evidence/sources〔沿用组 1〕
distract	PENDING	-	A2	NA	NA	-	维度一待定：typos distract(G2)vs digression distracts(G1)〔沿用组 1〕
prose	G2	Wording	NA	NA	NA	M	主导搭配 tighten/clarify your prose，句级文风〔沿用组 1〕
instance	NA	-	NA	NA	NA	M	"主导为""for instance""元话语（反馈自身举例，非要求学生举例）〔沿用组 1〕"
concerns	NA	-	A2	NA	NA	M	my main concerns are…，批评标记语〔沿用组 1〕
address	PENDING	-	PENDING	NA	NA	-	"手册 v3 强制查询清单（G1/A3 争议），不得凭词形归类：address counterarguments(G1+A3) vs 元话语""address the points below""(NA)〔沿用组 1〕"
STRENGTHEN	G1	Ideas	A3	NA	NA	M	strengthen your argument/thesis；Ideas/Development 子类边界待核〔沿用组 1〕
PROOFREAD	G2	Correctness	A3	NA	NA	H	校对行动，Correctness+建议〔沿用组 1〕
credible	G1	Development	A1	NA	NA	M	credible sources/evidence〔沿用组 1〕
arguable	G1	Ideas	A1	NA	NA	M	an arguable thesis，域固定于论断〔沿用组 1〕
NEED	NA	-	A3	NA	NA	H	need to = Hyland&Hyland 明示建议套语〔沿用组 1〕
reasoning	G1	Ideas	NA	NA	NA	H	Ideas 定义明示 lines of thought and reasoning〔沿用组 1〕
aim	G1	Ideas	PENDING	NA	NA	-	"act 层待定：""aim to/for""（A3）vs ""your aim""（名词，NA）〔沿用组 1〕"
anecdote	G1	Development	NA	NA	NA	H	证据类型〔沿用组 1〕
