type	d1	d1sub	act	hedge	c	conf	note
chinese	NA	-	NA	NA	C1	H	Identity marking 明示（写作者语言身份）；亦可能为 Transfer framing（"in Chinese, articles…"），子类待 concordance 区分，但 C1 归属不待定。依手册规则 C1 词族维度一、二均标 NA
ARTICLE	G2	Grammar	NA	NA	NA	C	维度一待定：英语冠词(G2-Grammar)vs 引用的文章(G1-Development)；本组与 nouns/singular/verb 构成语法簇，判为冠词的先验概率高于组 2，但仍须查〔concordance 判定：d1=G2-Correctness-Grammar〕
english	NA	-	NA	NA	C1	C	手册明列：指语言系统（correct English）→C1；作文体修饰（English essay）→NA。两读法维度一均为 NA〔concordance 判定：c=C1〕
happy	NA	-	NA	NA	NA	M	人际礼貌（happy to help / I'd be happy to…）；属手册排除的 paired acts 类，不入 M1
safety	NA	-	NA	NA	NA	H	议题内容残留
check	G1	Development	A3	NA	NA	C	维度一待定：check your spelling(G2)vs check your logic(G1)；手册 A3 明示〔concordance 判定：d1=G1-Development〕
patterns	G2	Grammar	NA	NA	NA	C	维度一待定：error patterns(G2)vs sentence patterns(G2-Local)vs 论证模式(G1)〔concordance 判定：d1=G2-Correctness-Grammar〕
eg	NA	-	NA	NA	NA	M	举例元话语（e.g.）
issues	NA	-	A2	NA	NA	M	问题标记，内在负向（同手册 problem 口径）；层级由宾语决定
please	NA	-	NA	NA	NA	M	礼貌标记；手册 M1 限于 hedges，礼貌标记不入 M1
hours	NA	-	NA	NA	NA	H	议题内容残留
word	G2	Wording	NA	NA	NA	H	Wording 明示。注：本组为单数 word 独立入选（组 2 为归并 WORD），系 R1 先行的口径效应
suggestion	NA	-	A3	NA	NA	C	act 层待定：反馈小标题（NA）vs 名词化建议行为（A3）〔concordance 判定：act=A3〕
should	NA	-	A3	NA	NA	H	Hyland&Hyland 明示建议套语
further	NA	-	NA	NA	NA	M	程度/延续副词（further develop），非 hedge
problems	NA	-	A2	NA	NA	H	手册 A2 明示（problem）
returns	NA	-	NA	NA	NA	H	议题内容残留
RUN-ON	G2	Local Structure	NA	NA	NA	H	手册 Local Structure 词族例明列 run-on；语义为流水句
office	NA	-	NA	NA	NA	H	议题内容残留
choice	G2	Wording	NA	NA	NA	M	word choice
sentences	G2	Local Structure	NA	NA	NA	H	Local Structure 明示
splices	G2	Local Structure	NA	NA	NA	H	comma splice 与 run-on 同属句界错误，依手册 run-on 口径归 Local Structure
i	NA	-	NA	NA	NA	M	反馈者自称（I suggest/I noticed）＝人称归因，属手册排除的缓和策略，不入 M1
language	G2	Wording	NA	NA	NA	C	维度三待定：your language background/first language(C1)vs academic language(G2 Wording)〔concordance 判定：d1=G2-Wording，c=NA〕
nouns	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示
insert	G1	Development	A3	NA	NA	C	维度一待定：insert a comma(G2-Mechanics)vs insert a transition(G1)；建议动词〔concordance 判定：d1=G1-Development〕
inaccurate	G1	Development	A2	NA	NA	C	维度一待定：inaccurate wording(G2)vs inaccurate facts(G1-Development)；负向评价〔concordance 判定：d1=G1-Development〕
comma	G2	Mechanics	NA	NA	NA	H	Mechanics 明示
paragraphs	PENDING	-	NA	NA	NA	-	维度一待定：手册明示段落内部组织→G2、段落间安排→G1
our	NA	-	NA	NA	NA	M	疑似议题内容残留（our society）vs 包容性人称，待核
verb	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示
shorter	G2	Local Structure	NA	NA	NA	M	shorter sentences；比较级，评价由框架承担
register	G2	Wording	NA	NA	NA	C	维度一待定（手册列 tone/formal/register 为 PENDING）；元语言学术语，显性命名语域规范〔concordance 判定：d1=G2-Wording〕
logically	G1	Ideas	NA	NA	NA	M	手册 Ideas 词族例含 logic；若主导搭配为 organize…logically 则应改判 Global Structure
singular	G2	Grammar	NA	NA	NA	H	单复数，Correctness/Grammar 明示
just	NA	-	NA	NA	NA	C	hedge 层待定：最小化降调（M1）vs"仅仅是"强化批评（NA）；同组 1 口径〔concordance 判定：hedge=NA〕
usually	NA	-	NA	M1	NA	H	手册 v3 M1 明示 hedge
