type	d1	d1sub	act	hedge	c	conf	note
your	NA	-	NA	NA	NA	M	人称代词
mechanics	G2	Mechanics	NA	NA	NA	H	Mechanics 明示
errors	G2	Correctness	A2	NA	NA	H	手册边界规则明示：error/mistake 归 G2-Correctness 且同时得批评标签
clarity	G1	Ideas	NA	NA	NA	C	维度一待定（手册 clear 系）〔concordance 判定：d1=G1-Ideas(40%)〕
organization	G1	Global Structure	NA	NA	NA	H	Global Structure 明示
specific	G1	Development	NA	NA	NA	C	手册明列 specific 为 PENDING：细节不足(G1-Dev)vs 用词不准(G2)〔concordance 判定：d1=G1-Development(47%)〕
EXPLAIN	NA	-	A3	NA	NA	C	act 层待定：you explain X well（描述）vs explain this further（A3）；内容动词类〔concordance 判定：act=A3(86%)〕
SECTION	G1	Global Structure	NA	NA	NA	M	大于段落的单位
readers	G1	Ideas	NA	NA	NA	M	受众；依窄口径 C1 规定归 G1
say	NA	-	NA	NA	NA	C	act 层待定：you say X（描述）vs say more about（A3）；内容动词类〔concordance 判定：act=NA〕
level	G2	Local Structure	NA	NA	NA	C	维度一待定：sentence-level(G2)/paragraph-level(G1)/level of detail(G1)〔concordance 判定：d1=G2-Local Structure〕
body	G1	Global Structure	NA	NA	NA	H	body paragraphs，大单位
revise	NA	-	A3	NA	NA	H	手册 A3 明示
data	G1	Development	NA	NA	NA	M	证据类型；疑似议题内容残留，待核
strengthen	G1	Ideas	A3	NA	NA	M	strengthen your argument/thesis；同组 1 STRENGTHEN 口径。注：属 strong 词族，若 v3 强制查询清单覆盖则须改判 PENDING
impact	G1	Ideas	NA	NA	NA	M	the impact of your argument on the reader；同组 4 口径
HELP	NA	-	NA	NA	NA	M	描述性动词（this helps the reader）
FOCUS	G1	Ideas	NA	NA	NA	C	维度一待定：your focus(G1)vs focus on this sentence(G2)；act 层待定，内容动词类〔concordance 判定：d1=G1-Ideas，act=NA〕
policy	NA	-	NA	NA	NA	H	议题内容残留
SUPPORT	G1	Development	NA	NA	NA	H	手册边界规则明示：support 归 G1 Development
significant	NA	-	NA	NA	NA	M	程度形容词，极性依宾语
organizing	G1	Global Structure	NA	NA	NA	H	Global Structure 明示
grammar	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示
restate	G1	Global Structure	A3	NA	NA	M	restate your thesis in the conclusion，大单位安排
luck	NA	-	NA	NA	NA	M	人际礼貌（good luck）；属手册排除的 paired acts 类
stronger	NA	-	A3	NA	NA	C	手册 v3 强制查询清单（strong 系 A1/A3 争议），不得凭词形归类〔concordance 判定：act=A3〕
recommend	NA	-	A3	NA	NA	H	手册 A3 明示
reasons	G1	Ideas	NA	NA	NA	H	手册 Ideas 词族例明列 reason
briefly	NA	-	NA	M1	NA	C	hedge 层待定：briefly explain 削减要求强度（M1）vs 单纯方式副词（NA）；同组 2〔concordance 判定：hedge=M1(71%)〕
details	G1	Development	NA	NA	NA	H	Development 明示
lack	NA	-	A2	NA	NA	H	手册 A2 词族例明列 lack
confusing	PENDING	-	A2	NA	NA	-	维度一待定（clear 系）；手册 A2 词族例明列 confusing
