query_word	match_form	corpus	groups	token_pos	left	node	right
ARTICLE	Article	German	6,7	557	academic register not simply a strong emotional translation from German	Article	usage the Exxon corporation the grounding of the Exxon check
ARTICLE	article	German	6,7	583	it in English company names usually don t take an	article	Exxon owns not The Exxon corporation Exxon owns Word order
ARTICLE	article	German	6,7	735	a clear argumentative purpose not just narrative sequence Proofread for	article	usage and repetitive phrasing You have strong instincts for persuasive
ARTICLE	Articles	German	6,7	440	are patterns to watch for common transfer issues from German	Articles	English requires articles more consistently than German in certain contexts
ARTICLE	articles	German	6,7	443	watch for common transfer issues from German Articles English requires	articles	more consistently than German in certain contexts Example see and
ARTICLE	articles	German	6,7	705	a counterargument Proofread carefully for spelling catigory beleive and grammar	articles	possessives run ons Consider adding one more piece of evidence
ARTICLE	article	German	6,7	514	specific issues to address An neurosurgeon should be a neurosurgeon	article	error before consonant sound He or she who works outside
ARTICLE	article	German	6,7	726	your claims about societal effects of unpaid caregiving Proofread for	article	usage and sentence length control both common trouble spots for
ARTICLE	articles	German	6,7	745	spots for German English writers since German doesn t require	articles	in all the same contexts This essay tackles an ambitious
ARTICLE	article	German	6,7	557	tendency to propagate and extend ourselves through our offspring Watch	article	usage the individual an affluent society minor but recurring issue
ARTICLE	articles	German	6,7	578	typical for German speakers since German doesn t always require	articles	where English does Reading your paragraphs aloud can help you
ARTICLE	Article	German	6,7	499	the legitimate businessman he does better than the legitimate businessman	Article	use a known German English challenge Watch definite indefinite articles
ARTICLE	articles	German	6,7	509	Article use a known German English challenge Watch definite indefinite	articles	with abstract nouns eg Crime like any small business requires
ARTICLE	article	German	6,7	481	and Word Choice Since English and German differ significantly in	article	use spelling conventions and pronoun capitalization please review these specific
ARTICLE	Article	German	6,7	496	Please proofread carefully for such gaps as they interrupt reading	Article	usage English articles are notoriously tricky for German speakers since
ARTICLE	articles	German	6,7	499	for such gaps as they interrupt reading Article usage English	articles	are notoriously tricky for German speakers since German s der
ARTICLE	Articles	German	6,7	495	of these reflect German sentence structures being carried into English	Articles	In the s in American In the s in America
ARTICLE	articles	German	6,7	509	in American In the s in America German often omits	articles	where English requires them die er vs the s double
ARTICLE	article	German	6,7	521	English requires them die er vs the s double check	article	usage throughout Word order verb placement The answer this question
ARTICLE	articles	German	6,7	752	a new example at the last moment Proofread carefully for	articles	prepositions and spelling these small consistent errors are the most
ARTICLE	article	German	6,7	609	been or has always been a recurrent theme Watch for	article	usage the current material gain in your intro is a
ARTICLE	article	German	6,7	727	counterargument Do a careful proofreading pass for typos and pronoun	article	agreement You have strong material here with tighter logical connections
ARTICLE	Articles	German	6,7	519	piers peers the are not strong enough they are not	Articles	and prepositions the woman when you mean women in general
ARTICLE	article	German	6,7	536	mean women in general should usually be just women no	article	German often uses articles where English does not for generalizations
ARTICLE	articles	German	6,7	540	should usually be just women no article German often uses	articles	where English does not for generalizations eg a lot of
ARTICLE	Article	German	6,7	629	destruction should be someone could definitely be headed for destruction	Article	usage Watch for missing or incorrect articles a common challenge
ARTICLE	articles	German	6,7	636	headed for destruction Article usage Watch for missing or incorrect	articles	a common challenge when transferring from German eg commit crime
ARTICLE	article	German	6,7	682	in the realm of date courting and chivalry needs an	article	in the realm of dating courting and chivalry Summary Your
ARTICLE	article	German	6,7	686	are certainly other important factors Review sentence boundaries carefully Watch	article	usage the unorganized vs unorganized crime German often omits or
ARTICLE	articles	German	6,7	698	the unorganized vs unorganized crime German often omits or adds	articles	differently than English requires Multiply that by the number of
ARTICLE	article	German	6,7	773	formal academic tone throughout Proofread for run on sentences and	article	usage You have strong raw material here a genuine argument
ARTICLE	Article	German	6,7	410	something like I always believed them when they said this	Article	usage German and English handle articles differently Check phrases like
ARTICLE	articles	German	6,7	416	when they said this Article usage German and English handle	articles	differently Check phrases like husbands firearms should be husband s
ARTICLE	Article	German	6,7	515	with a capital letter By this I do not mean	Article	usage A women is just as much a citizen should
ARTICLE	Article	German	6,7	549	honestly honesty in how can honesty be associated with evil	Article	usage English often requires articles where German does not eg
ARTICLE	articles	German	6,7	554	honesty be associated with evil Article usage English often requires	articles	where German does not eg If money was the root
ARTICLE	articles	German	6,7	768	Improve paragraph transitions and topic sentences Proofread carefully for spelling	articles	and subjunctive verb forms Connect your conclusion explicitly back to
ARTICLE	article	German	6,7	266	speaker some of these patterns are recognizable eg loanword spelling	article	usage Here are the recurring issues Spelling Interraction Interaction single
ARTICLE	Article	German	6,7	360	Consider Computers have also made daily life move much faster	Article	usage a known challenge from German which uses articles differently
ARTICLE	articles	German	6,7	369	faster Article usage a known challenge from German which uses	articles	differently We now have ATM We now have the ATM
ARTICLE	articles	German	6,7	411	this is correct but check similar constructions throughout for missing	articles	before nouns Word choice false friends proceed with the same
ARTICLE	article	German	6,7	658	Proofread for the specific errors listed above spelling transaction process	article	use Remove the new idea in the conclusion or introduce
ARTICLE	article	German	6,7	594	help mentality note also self sufficient doesn t take an	article	a before the adjective in this construction Sentence fragments run
ARTICLE	Article	German	6,7	566	do break down Consider breaking this into two clearer sentences	Article	usage In people s homes calculators as usually found seems
ARTICLE	article	German	6,7	589	a typo did you mean are usually found Also check	article	usage before calculators and personal computers German does not always
ARTICLE	articles	German	6,7	601	before calculators and personal computers German does not always require	articles	where English does so this is a common area of
ARTICLE	Article	German	6,7	476	in a second language a few patterns are worth flagging	Article	use German and English handle articles differently Watch phrases like
ARTICLE	articles	German	6,7	482	patterns are worth flagging Article use German and English handle	articles	differently Watch phrases like a topic which has volumes volumes
ARTICLE	article	German	6,7	711	the Sisyphus Siddhartha reference Proofread for proper noun spelling and	article	usage Consider having a native speaker or writing center tutor
ARTICLE	Article	German	6,7	545	Flucht Check this carefully as flu changes the meaning significantly	Article	usage the invention of the shopping mall is correct but
ARTICLE	Article	German	6,7	589	a closer look at current events than newspapers can provide	Article	use English articles are often tricky for German speakers since
ARTICLE	articles	German	6,7	592	at current events than newspapers can provide Article use English	articles	are often tricky for German speakers since German uses them
ARTICLE	article	German	6,7	628	so pick one consistent approach when speaking generally usually no	article	television has changed society not the television Word choice register
ARTICLE	Article	German	6,7	467	easier than previously possibly likely meant than was previously possible	Article	and preposition use in their perspective countries should be respective
ARTICLE	article	German	6,7	485	should be respective countries a word confusion not just an	article	issue Run on sentences and comma splices Several sentences join
ARTICLE	article	German	6,7	243	need to cite where this information comes from a documentary	article	book Suggestion For an argumentative essay every generalization should be
ARTICLE	article	German	6,7	175	harnessing of the atom and its energy you need the	article	the before atom and the gerund form harnessing works better
ARTICLE	article	German	6,7	294	native speaker review it as several other minor prepositional and	article	errors a hallmark of German English transfer appear throughout Structural
ARTICLE	article	German	6,7	701	and friendly neighbors Summary of Priority Revisions Proofread carefully for	article	usage prepositions and subject verb agreement consider using a grammar
ARTICLE	Article	German	6,7	380	house while there indicates place or existence there is are	Article	usage German and English handle articles differently Check phrases like
ARTICLE	articles	German	6,7	386	existence there is are Article usage German and English handle	articles	differently Check phrases like changed our way of live should
ARTICLE	article	German	6,7	533	zip lock bag and not get freezer burn needs an	article	a zip lock bag and smoother phrasing Extra incorrect punctuation
ARTICLE	Article	German	6,7	566	lock bags solve this problem unnecessary comma before the verb	Article	usage German does not require articles in the same contexts
ARTICLE	articles	German	6,7	572	comma before the verb Article usage German does not require	articles	in the same contexts as English so watch for missing
ARTICLE	articles	German	6,7	583	in the same contexts as English so watch for missing	articles	put in zip lock bag put in a zip lock
ARTICLE	articles	German	6,7	753	the strongest ones rather than listing everything Proofread for punctuation	articles	and word choice You have great material and genuine enthusiasm
ARTICLE	article	German	6,7	667	th century in English unlike German nouns Word order and	article	use generally your English is strong but double check idiomatic
ARTICLE	Article	German	6,7	365	is your first language here are patterns to watch for	Article	and possessive errors to make one lives easier to make
ARTICLE	Article	German	6,7	484	have been many inventions plural subject inventions requires plural verb	Article	use English articles work differently from German watch phrases like
ARTICLE	articles	German	6,7	487	inventions plural subject inventions requires plural verb Article use English	articles	work differently from German watch phrases like with the use
ARTICLE	article	German	6,7	512	with the use of a modem count noun needs an	article	Spelling recieve should be receive i before e except after
ARTICLE	article	German	6,7	752	IBM s role through a quick source check Proofread for	article	use subject verb agreement and spelling errors Revise the conclusion
ARTICLE	Article	German	6,7	492	wants Subject Verb Object order maintained even in complex sentences	Article	usage the vietnam war should be the Vietnam War capitalize
ARTICLE	article	German	6,7	728	don t leave it underdeveloped Proofread for word order and	article	usage which are the most noticeable grammar issues stemming from
ARTICLE	Article	German	6,7	532	only recently that we have begun to recognize how much	Article	usage the woman is still only earning should be women
ARTICLE	article	German	6,7	551	be women are still only earning avoid the generic definite	article	singular which is a common transfer from German die Frau
