query_word	match_form	corpus	groups	layers	merge_expanded	doc_id	filename	token_pos	left	node	right
ARTICLE	articles	Generic	2,10	维度一	YES	0	ICLE-US-IND-0001.1	718	hull regulation Proofread for informal phrasing and minor grammar issues	articles	capitalization You have strong personal motivation and a solid topic
ARTICLE	Article	Generic	2,10	维度一	YES	7	ICLE-US-IND-0008.1	452	it begins a new sentence Spelling capitivates should be captivates	Article	usage This is a different concept all together should be
ARTICLE	article	Generic	2,10	维度一	YES	8	ICLE-US-IND-0009.1	237	you should cite where you learned these facts a news	article	a book etc Right now the claims about his earnings
ARTICLE	Article	Generic	2,10	维度一	YES	10	ICLE-US-IND-0011.1	517	awkwardly in make much too money make too much money	Article	usage In the s in American in America Subject verb
ARTICLE	article	Generic	2,10	维度一	YES	12	ICLE-US-IND-0013.1	722	paragraph supports it For each major claim find one source	article	study or statistic to support it Revise emotionally loaded language
ARTICLE	Article	Generic	2,10	维度一	YES	14	ICLE-US-IND-0015.1	482	Grammar Issues There are several recurring grammar patterns to review	Article	usage the definition of term money the definition of the
ARTICLE	articles	Generic	2,10	维度一	YES	14	ICLE-US-IND-0015.1	502	the term money Non native English speakers often struggle with	articles	a an the it may help to review rules for
ARTICLE	articles	Generic	2,10	维度一	YES	14	ICLE-US-IND-0015.1	516	it may help to review rules for when definite indefinite	articles	are required before nouns Subject verb agreement and capitalization when
ARTICLE	article	Generic	2,10	维度一	YES	14	ICLE-US-IND-0015.1	559	should be One s attitude only one apostrophe needed Missing	article	structure of a greedy persons life the structure of a
ARTICLE	articles	Generic	2,10	维度一	YES	14	ICLE-US-IND-0015.1	752	opening proverb and offers a final insight Proofread carefully for	articles	apostrophes and capitalization You have a genuinely interesting philosophical claim
ARTICLE	article	Generic	2,10	维度一	YES	20	ICLE-US-IND-0021.1	657	at whom it was aimed Watch subject verb agreement and	article	usage throughout eg and and other is a typo I
ARTICLE	article	Generic	2,10	维度一	YES	25	ICLE-US-IND-0027.1	284	Even in an argumentative essay using a real source news	article	government wage data criminology study for at least some numbers
ARTICLE	Article	Generic	2,10	维度一	YES	29	ICLE-US-MICH-0003.1	370	meant life life styles should probably be one word lifestyles	Article	usage We now have ATM We now have ATMs plural
ARTICLE	article	Generic	2,10	维度一	YES	29	ICLE-US-MICH-0003.1	637	strengthen the jobs automation point Proofread carefully for spelling and	article	usage a an the Separate your conclusion s new ideas
ARTICLE	Article	Generic	2,10	维度一	YES	31	ICLE-US-MICH-0005.1	571	that need oiled need to be oiled or need oiling	Article	usage Check phrases like a current ideology vs the current
ARTICLE	article	Generic	2,10	维度一	YES	39	ICLE-US-MICH-0013.1	214	even a general one like a sociological study or news	article	or softening the language to reflect that this is your
ARTICLE	Article	Generic	2,10	维度一	YES	42	ICLE-US-MICH-0016.1	439	say Check that each sentence has a clear main clause	Article	usage in to our homes should be into our homes
ARTICLE	articles	Generic	2,10	维度一	YES	42	ICLE-US-MICH-0016.1	460	one word as a preposition here Also watch for missing	articles	is a major source for fast accurate communicating reads awkwardly
ARTICLE	articles	Generic	2,10	维度一	YES	43	ICLE-US-MICH-0017.1	393	culture Suggestion Look for at least two or three sources	articles	studies or expert opinions that support your claim about the
ARTICLE	article	Generic	2,10	维度一	YES	44	ICLE-US-MICH-0018.1	514	bag without getting freezer burn for smoother phrasing and correct	article	usage a zip lock bag Rhetorical questions You use two
ARTICLE	articles	Generic	2,10	维度一	YES	57	ICLE-US-MICH-0033.1	486	programs Suggestion Find credible sources CDC WHO or peer reviewed	articles	and integrate specific facts and figures This will transform your
ARTICLE	article	Generic	2,10	维度一	YES	71	ICLE-US-MRQ-0002.1	256	quotations from your sources with citations author page paragraph or	article	title Strengthen the Values vs Consequences Framework This is a
ARTICLE	Article	Generic	2,10	维度一	YES	71	ICLE-US-MRQ-0002.1	485	a fiery debate precipitous but some recurring errors affect clarity	Article	errors an complex issue a complex issue en a painful
ARTICLE	Article	Generic	2,10	维度一	YES	73	ICLE-US-MRQ-0004.1	599	check your intended meaning achie ved has a stray space	Article	usage achieve of their own merit should be achieve on
ARTICLE	Article	Generic	2,10	维度一	YES	77	ICLE-US-MRQ-0008.1	575	perhaps freedoms abound but we also arrive there by ourselves	Article	preposition errors a felling of inferiority ridding campuses of their
ARTICLE	articles	Generic	2,10	维度一	YES	77	ICLE-US-MRQ-0008.1	702	rebuttal Do a dedicated proofreading pass focused only on pronouns	articles	and sentence boundaries run ons fragments Reconsider a few emotionally
ARTICLE	Article	Generic	2,10	维度一	YES	81	ICLE-US-MRQ-0012.1	500	also has worked to stop bulimia consider has also worked	Article	usage an architect name Sam should be an architect named
ARTICLE	articles	Generic	2,10	维度一	YES	81	ICLE-US-MRQ-0012.1	690	scientific language especially the serotonin explanation Proofread carefully for typos	articles	and verb tense consistency You have a strong foundation here
ARTICLE	articles	Generic	2,10	维度一	YES	82	ICLE-US-MRQ-0013.1	35	I can see you ve engaged closely with both source	articles	Below is feedback organized by area followed by specific suggestions
ARTICLE	articles	Generic	2,10	维度一	YES	82	ICLE-US-MRQ-0013.1	146	words Before you revise anything else go back to both	articles	and insert the exact quotations Then make sure each quote
ARTICLE	article	Generic	2,10	维度一	YES	82	ICLE-US-MRQ-0013.1	453	middle of a long sentence However as one reads the	article	by E L Pattullo Consider isolating it into its own
ARTICLE	articles	Generic	2,10	维度一	YES	82	ICLE-US-MRQ-0013.1	584	will make readers change their minds James M Wall s	articles	does not give subject verb agreement issue article does not
ARTICLE	article	Generic	2,10	维度一	YES	82	ICLE-US-MRQ-0013.1	592	Wall s articles does not give subject verb agreement issue	article	does not articles does there was not reason why homosexuals
ARTICLE	articles	Generic	2,10	维度一	YES	82	ICLE-US-MRQ-0013.1	595	does not give subject verb agreement issue article does not	articles	does there was not reason why homosexuals should not be
ARTICLE	article	Generic	2,10	维度一	YES	82	ICLE-US-MRQ-0013.1	636	meaning here as it currently contradicts your thesis Watch for	article	usage a ban gays serving should be a ban on
ARTICLE	article	Generic	2,10	维度一	YES	82	ICLE-US-MRQ-0013.1	697	point before countering it Proofread for subject verb agreement and	article	usage a an the Reconsider the conclusion shift focus from
ARTICLE	article	Generic	2,10	维度一	YES	83	ICLE-US-MRQ-0014.1	240	without clear connections For instance the paragraph beginning In the	article	In Track and Field moves from unfair competition to ethics
ARTICLE	articles	Generic	2,10	维度一	YES	84	ICLE-US-MRQ-0015.1	71	the essay currently reads more like a summary of three	articles	than an argument and it needs revision in several areas
ARTICLE	Article	Generic	2,10	维度一	YES	84	ICLE-US-MRQ-0015.1	170	a separate clearly stated thesis sentence that previews your evaluation	Article	A is weak because X Article B is weak because
ARTICLE	Article	Generic	2,10	维度一	YES	84	ICLE-US-MRQ-0015.1	176	that previews your evaluation Article A is weak because X	Article	B is weak because Y Article C offers the best
